Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: multiplication cpu,	32,	0.000101274,	0.000001994,	4096
M3: multiplication cpu,	32,	0.000101595,	0.000038698,	8192
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: multiplication cpu,	64,	0.000820395,	0.000009137,	2
M3: multiplication cpu,	64,	0.000810816,	0.000003356,	4
M3: multiplication cpu,	64,	0.000823039,	0.000010367,	8
M3: multiplication cpu,	64,	0.000832315,	0.000027344,	16
M3: multiplication cpu,	64,	0.000817478,	0.000026133,	32
M3: multiplication cpu,	64,	0.000843797,	0.000027852,	64
M3: multiplication cpu,	64,	0.000827721,	0.000029646,	128
M3: multiplication cpu,	64,	0.000851345,	0.000022565,	256
M3: multiplication cpu,	64,	0.000826359,	0.000032730,	512
M3: multiplication cpu,	64,	0.000827824,	0.000031978,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: multiplication cpu,	128,	0.006138857,	0.000054173,	2
M3: multiplication cpu,	128,	0.006505584,	0.000060841,	4
M3: multiplication cpu,	128,	0.006538675,	0.000015441,	8
M3: multiplication cpu,	128,	0.006515110,	0.000028125,	16
M3: multiplication cpu,	128,	0.006487809,	0.000140606,	32
M3: multiplication cpu,	128,	0.006516525,	0.000040452,	64
M3: multiplication cpu,	128,	0.006506777,	0.000050728,	128
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: multiplication cpu,	256,	0.051978450,	0.000599052,	2
M3: multiplication cpu,	256,	0.052251828,	0.000053849,	4
M3: multiplication cpu,	256,	0.053640166,	0.000880084,	8
M3: multiplication cpu,	256,	0.054090485,	0.000440466,	16
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: multiplication cpu,	512,	0.420207097,	0.000572938,	2
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: multiplication cpu,	1024,	3.845115772,	0.011232582,	2
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: shared memory multiplication,	2,	0.000906952,	0.000388842,	2
M3: shared memory multiplication,	2,	0.000525730,	0.000043113,	4
M3: shared memory multiplication,	2,	0.000518945,	0.000018228,	8
M3: shared memory multiplication,	2,	0.000550283,	0.000051605,	16
M3: shared memory multiplication,	2,	0.000545522,	0.000058164,	32
M3: shared memory multiplication,	2,	0.000541767,	0.000068019,	64
M3: shared memory multiplication,	2,	0.000542942,	0.000041473,	128
M3: shared memory multiplication,	2,	0.000536617,	0.000039371,	256
M3: shared memory multiplication,	2,	0.000539135,	0.000044342,	512
M3: shared memory multiplication,	2,	0.000536192,	0.000070703,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: shared memory multiplication,	4,	0.000882035,	0.000341364,	2
M3: shared memory multiplication,	4,	0.000515756,	0.000007687,	4
M3: shared memory multiplication,	4,	0.000519607,	0.000010687,	8
M3: shared memory multiplication,	4,	0.000527286,	0.000037308,	16
M3: shared memory multiplication,	4,	0.000521409,	0.000064361,	32
M3: shared memory multiplication,	4,	0.000533001,	0.000038295,	64
M3: shared memory multiplication,	4,	0.000526431,	0.000034156,	128
M3: shared memory multiplication,	4,	0.000529474,	0.000041934,	256
M3: shared memory multiplication,	4,	0.000532654,	0.000070794,	512
M3: shared memory multiplication,	4,	0.000534932,	0.000065795,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: shared memory multiplication,	8,	0.000919792,	0.000384461,	2
M3: shared memory multiplication,	8,	0.000553594,	0.000013092,	4
M3: shared memory multiplication,	8,	0.000515189,	0.000019612,	8
M3: shared memory multiplication,	8,	0.000518882,	0.000019646,	16
M3: shared memory multiplication,	8,	0.000526359,	0.000024023,	32
